Date,Open,High,Low,Close,Adj Close,Volume
20-10-2014,270.950012,275.75,269.200012,274.100006,253.23259,1243647
21-10-2014,276,283,274.799988,278.5,257.297607,1417754
22-10-2014,281.649994,285.299988,267.049988,268.700012,248.243683,3387018
27-10-2014,274,275,267,269.700012,249.167496,749316
28-10-2014,271,271.75,265,267.100006,246.765442,993406
29-10-2014,268.549988,280.399994,268,279.5,258.221527,2373672
30-10-2014,280,282.75,277,279.799988,258.498566,1525599
31-10-2014,280.899994,286.399994,280.399994,285.399994,263.672211,1277740
03-11-2014,285.950012,292.799988,285.950012,290.75,268.61496,1207015
05-11-2014,291.799988,293.299988,286,289.600006,267.552521,1055836
07-11-2014,290.799988,291,278.850006,289.049988,267.044342,1000638
10-11-2014,287.5,305.799988,285.5,304.299988,281.133392,2627142
11-11-2014,307.649994,309.700012,302.5,304.399994,281.22583,1622355
12-11-2014,303,307.399994,300.649994,302.5,279.470398,909272
13-11-2014,302,304.700012,296.149994,300.799988,277.899811,738733
14-11-2014,301,310.950012,301,308,284.551727,1522168
17-11-2014,308.899994,312.399994,305.100006,306.75,283.396881,1221882
18-11-2014,305.149994,309.5,304.100006,306.850006,283.489258,635023
19-11-2014,308,316.899994,300.649994,306.049988,282.750122,2281766
20-11-2014,306.450012,308.299988,301.5,306.399994,283.073456,684481
21-11-2014,306.799988,314.450012,305.25,311.799988,288.062408,1217295
24-11-2014,314.950012,315.850006,305.600006,307.799988,284.366852,1128792
25-11-2014,307.700012,308.649994,297.350006,304.049988,280.902435,922523
26-11-2014,304.049988,310.799988,298.399994,307.899994,284.459351,1264934
27-11-2014,307.399994,312.350006,305.950012,309.899994,286.307068,1300907
28-11-2014,307.700012,321.899994,307.700012,319.450012,295.129944,1237463
01-12-2014,320.899994,326.5,320.899994,324.149994,299.472229,1258678
02-12-2014,324.700012,324.799988,315,321.25,296.792938,1058367
03-12-2014,325.399994,337.75,325.399994,332.450012,307.14035,2693692
04-12-2014,335,335.799988,324.600006,326.850006,301.966675,1292586
05-12-2014,328.450012,328.600006,318.100006,320.399994,296.00769,810222
08-12-2014,321.450012,326.899994,317,322.299988,297.763031,1541130
09-12-2014,322.600006,335.850006,322.600006,333.25,307.879395,4244989
10-12-2014,334,346.899994,307.75,310.200012,286.584229,8401293
11-12-2014,303.850006,303.850006,278.649994,280.399994,259.052887,14171314
12-12-2014,282,284,262.399994,265.799988,245.564407,22548392
15-12-2014,262.700012,271.799988,260.649994,267.899994,247.504486,5490530
16-12-2014,267,269.450012,250,252.949997,233.692688,3922082
17-12-2014,254.899994,268.5,251,259.75,239.975021,5141621
18-12-2014,267.799988,271,261.950012,269.450012,248.936569,8975744
19-12-2014,270.899994,272.450012,265.5,268.350006,247.920288,4303928
22-12-2014,265.700012,271.350006,265.350006,269.399994,248.890366,2044300
23-12-2014,268.200012,274.850006,266.600006,268.049988,247.643143,3622050
24-12-2014,267.5,270.799988,262.600006,265.149994,244.963898,3654607
26-12-2014,266.299988,270.950012,265.100006,269.899994,249.35228,1209588
29-12-2014,271,277.899994,267.399994,271.049988,250.414719,8936385
30-12-2014,272.850006,279,272,274.25,253.371124,4891833
31-12-2014,274.850006,278,274.049988,275.350006,254.387436,1685454
01-01-2015,275.75,277.399994,273.549988,276.299988,255.264999,1042050
02-01-2015,276.299988,277.899994,273.5,275.100006,254.156403,1471143
05-01-2015,275.899994,280.75,274.549988,277.799988,256.650848,2167401
06-01-2015,277.399994,277.399994,260.299988,262.649994,242.654251,2786525
07-01-2015,263,268.450012,256.100006,266.25,245.980164,2122221
08-01-2015,267.299988,274.5,267.299988,273.799988,252.955307,1570782
09-01-2015,275.700012,275.700012,269.200012,273.100006,252.308655,1733358
12-01-2015,274.899994,274.899994,268.100006,270.850006,250.229889,1060034
13-01-2015,271,273.299988,268.5,270.350006,249.768036,1623957
14-01-2015,269,270.899994,258.950012,263.649994,243.578049,2123170
15-01-2015,265,268.799988,263.100006,266.25,245.980164,2913614
16-01-2015,266,274.149994,265,271.649994,250.969025,1758970
19-01-2015,273.100006,277.899994,269.450012,271.600006,250.922852,1211700
20-01-2015,272.299988,274.299988,270,271.299988,250.645706,769630
21-01-2015,272.200012,273.600006,268.25,272.100006,251.384781,1133422
22-01-2015,273,281.5,272,280.200012,258.868134,2371577
23-01-2015,284,284.899994,275,280.200012,258.868134,2536747
27-01-2015,281.5,283,273,276.299988,255.264999,1147451
28-01-2015,277,278.899994,264,268.450012,248.01268,2231856
29-01-2015,264,266.799988,259.25,263.100006,243.070007,4001604
30-01-2015,265,265.5,257.350006,258.450012,238.774002,1672149
02-02-2015,258.5,259.399994,249.5,250.25,231.198273,3067615
03-02-2015,251.199997,251.600006,242.199997,247.649994,228.796204,4337167
04-02-2015,248.899994,254.399994,243,250.649994,231.56778,3557301
05-02-2015,251.899994,255.899994,246.199997,249,230.043411,2565696
06-02-2015,249.399994,250.699997,243,244.399994,225.79361,2025770
09-02-2015,244.399994,251.899994,240.050003,246.850006,228.057098,1814927
10-02-2015,246.399994,252.800003,244.5,249.850006,230.828705,1711428
11-02-2015,251.100006,261.649994,250.699997,260.5,240.667908,1697080
12-02-2015,261.899994,266.350006,258,261.850006,241.915146,3366830
13-02-2015,263,271,263,269.700012,249.167496,1477640
16-02-2015,271.25,272.299988,264.5,267.149994,246.811646,860832
18-02-2015,268,270,264.649994,268.850006,248.382202,627863
19-02-2015,270,273.799988,268,272.700012,251.939133,1138597
20-02-2015,273.100006,276.899994,269.700012,271.450012,250.784317,1182074
23-02-2015,271.75,272.899994,265.649994,268.700012,248.243683,986044
24-02-2015,268.700012,275,267.200012,274.450012,253.555878,1506429
25-02-2015,276.600006,278.649994,265.549988,268.200012,247.781723,2216601
26-02-2015,267.950012,268.649994,262.850006,263.799988,243.71666,1549534
27-02-2015,265.450012,274.700012,265.450012,273.899994,253.047806,1105777
28-02-2015,null,null,null,null,null,null
02-03-2015,272.5,280.25,270.049988,278.549988,257.343719,1334769
03-03-2015,279.75,288.5,276.200012,283,261.454895,2032666
04-03-2015,285.899994,289.950012,271.899994,278.25,257.066559,1938459
05-03-2015,279,281.899994,273.399994,276.75,255.680756,571934
09-03-2015,276.149994,285.649994,271.5,284.399994,262.748352,1597199
10-03-2015,285,290.899994,281.950012,286.649994,264.827087,1154212
11-03-2015,288,291.299988,281.399994,283.100006,261.547363,1603729
12-03-2015,284.5,294.899994,283.5,294.200012,271.802338,1468191
13-03-2015,295.5,299.299988,289.299988,294.25,271.84848,2694057
16-03-2015,294,301.350006,286.549988,295.149994,272.679962,2217917
17-03-2015,296.899994,299.850006,292.600006,298.700012,275.959717,1631895
18-03-2015,298.700012,299.25,291.700012,296.799988,274.204315,2291214
19-03-2015,299.899994,305.75,297.799988,299.649994,276.837372,1786061
20-03-2015,299,302,294.100006,300.399994,277.530273,1328149
23-03-2015,300.399994,315.850006,299.899994,313.75,289.863983,2728886
24-03-2015,314.5,315.700012,302.75,304.549988,281.364319,1572199
25-03-2015,305.799988,308.649994,299.100006,303.600006,280.486694,1690102
26-03-2015,303.5,313,300,308.850006,285.336945,1905101
27-03-2015,309.850006,310.399994,298.899994,303.25,280.163269,1870496
30-03-2015,305,309.5,303.600006,308.649994,285.152191,795726
31-03-2015,309.5,310.549988,302.299988,305.25,282.011047,723425
01-04-2015,304,309.450012,303.5,304.850006,281.641541,580787
06-04-2015,305.100006,310.399994,302.75,304.149994,280.994843,1406302
07-04-2015,304.950012,305.700012,301.299988,302.649994,279.608978,640602
08-04-2015,304.399994,304.399994,292.25,293.700012,271.340393,1022645
09-04-2015,294.399994,294.799988,283.399994,284.850006,263.164154,1709240
10-04-2015,286,294.399994,285.299988,292.5,270.231689,2582514
13-04-2015,292.950012,297.25,290.149994,293.899994,271.525085,1028282
15-04-2015,295.200012,296.549988,288.100006,289.700012,267.644928,1151958
16-04-2015,290.850006,292.75,286.299988,288.149994,266.212891,938691
17-04-2015,288.399994,290.549988,285,285.700012,263.949463,957354
20-04-2015,285,294.899994,282.25,290.899994,268.753571,1301665
21-04-2015,295.399994,296,286.5,288.5,266.536224,1338084
22-04-2015,289.850006,291.850006,281.399994,289.549988,267.506256,1000321
23-04-2015,291,298.399994,288.299988,288.75,266.767212,920184
24-04-2015,290,290.100006,276.5,279.549988,258.267609,902525
27-04-2015,280,280,266.200012,269.450012,248.936569,2196270
28-04-2015,268.600006,278.950012,266.600006,276.75,255.680756,2015471
29-04-2015,278,284.399994,277,280.899994,259.514893,906594
30-04-2015,280.799988,282.200012,277,279.799988,258.498566,2073775
04-05-2015,281.399994,287.850006,280,287.149994,265.289032,560922
05-05-2015,285,293.850006,285,291.200012,269.030701,815861
06-05-2015,289.700012,294.899994,272.649994,279.850006,258.5448,1280899
07-05-2015,278,290.399994,270,280.649994,259.283905,902482
08-05-2015,285.100006,287.799988,275.950012,278.700012,257.482361,703016
11-05-2015,277,293.649994,269.5,285.75,263.995636,5061107
12-05-2015,283,294.25,279.700012,284.649994,262.97937,1924738
13-05-2015,285.399994,288.5,275.100006,279.850006,258.5448,2145572
14-05-2015,280.100006,280.700012,275.950012,276.899994,255.819366,790611
15-05-2015,277.5,278.5,269.200012,270.649994,250.045242,1520517
18-05-2015,271.399994,271.700012,265,270.25,249.675629,1438844
19-05-2015,270.25,275.399994,269.049988,270.850006,250.229889,1251139
20-05-2015,274.399994,274.399994,268.100006,269.700012,249.167496,866746
21-05-2015,269.950012,272.299988,267.75,269.100006,248.613174,1010899
22-05-2015,269.799988,271.899994,266.399994,268.049988,247.643143,1738878
25-05-2015,268.100006,269.950012,264.950012,266.950012,246.626907,673364
26-05-2015,267,271.350006,267,269.799988,249.259918,892044
27-05-2015,269.5,273.899994,268.600006,270.950012,250.322372,880398
28-05-2015,271,272.899994,267.299988,271.350006,250.691864,602620
29-05-2015,272.450012,276.5,270.700012,275.75,254.756927,1680703
01-06-2015,275,279.649994,274.25,276.799988,255.727005,782209
02-06-2015,276.799988,279.5,272.850006,274.799988,253.879211,919391
03-06-2015,273.5,276.25,269.649994,274.350006,253.463531,1147242
04-06-2015,273.799988,280.299988,271.100006,276.850006,255.773163,791012
05-06-2015,277.049988,282,275.5,277.950012,256.789429,583483
08-06-2015,277.799988,277.799988,270.049988,272.350006,251.615799,724985
09-06-2015,269.950012,273,257.100006,270.399994,249.814194,1445869
10-06-2015,272,274.75,267.350006,270,249.444687,865826
11-06-2015,272.200012,273.950012,265,266.049988,245.795364,422233
12-06-2015,265.600006,272.299988,261.350006,266.649994,246.349655,619359
15-06-2015,269.649994,271.350006,263.700012,265.75,245.518204,451432
16-06-2015,266.899994,272.399994,263.700012,271.100006,250.460938,695957
17-06-2015,270.450012,274.350006,266.350006,270.450012,249.860413,1037008
18-06-2015,273.200012,280.75,272,277.75,256.604645,1360194
19-06-2015,278.399994,287.700012,277,285.549988,263.810791,761342
22-06-2015,289.799988,290.950012,284.200012,286.25,264.45755,1329299
23-06-2015,287.350006,292,286.450012,290.950012,268.799713,891144
24-06-2015,291.049988,291.399994,285.899994,287.100006,265.242828,941226
25-06-2015,287.399994,289.450012,278.100006,282.799988,261.270233,1447798
26-06-2015,282.799988,288.5,277.700012,287.200012,265.335175,727745
29-06-2015,281,283.399994,273,281.700012,263.001129,653548
30-06-2015,281,284.5,271.75,282.649994,263.888123,1391668
01-07-2015,283.350006,289.799988,280.75,287.600006,268.509521,574301
02-07-2015,289,292.850006,286,286.75,267.715973,700477
03-07-2015,288,288.5,281.450012,283.350006,264.541656,570494
06-07-2015,278,288.799988,277.350006,287.049988,267.995972,645536
07-07-2015,286.25,302,286.25,299.25,279.38623,1354933
08-07-2015,297,305.5,295.75,301.600006,281.580231,1499742
09-07-2015,303.399994,303.399994,297,298.25,278.452606,690940
10-07-2015,300,300.899994,295,297.549988,277.799103,570678
13-07-2015,299,299.5,295.299988,297.600006,277.845734,632480
14-07-2015,299.899994,302.899994,297.149994,299.149994,279.292877,841874
15-07-2015,300,304.799988,297.600006,299.700012,279.806366,740982
16-07-2015,301,303.5,299,301.200012,281.206818,497443
17-07-2015,303,310,302.350006,307.700012,287.275391,1325307
20-07-2015,308.899994,312.799988,307.100006,310.149994,289.562683,1049309
21-07-2015,312.649994,312.649994,295.299988,297.450012,277.705719,664276
22-07-2015,296.049988,303,295.450012,300.100006,280.179779,628018
23-07-2015,301,308.799988,298.600006,304.25,284.054321,837914
24-07-2015,304.200012,305.549988,296.100006,298.049988,278.265839,492885
27-07-2015,290,290,278,283.049988,264.261597,2064366
28-07-2015,283,284.799988,274.5,275.399994,257.119293,937075
29-07-2015,276,279.899994,272.25,273.200012,255.065399,681882
30-07-2015,274.600006,280,274,278.399994,259.920197,740314
31-07-2015,280.799988,283.149994,277.350006,279.100006,260.57373,627460
03-08-2015,279,279.5,275.25,277.149994,258.753143,570059
04-08-2015,278.850006,280.100006,271.700012,272.600006,254.505219,639251
05-08-2015,274.649994,279.799988,271.200012,277.649994,259.219971,799374
06-08-2015,280.200012,280.200012,275.100006,277.100006,258.706451,555311
07-08-2015,275.450012,280.649994,275.049988,277.549988,259.126648,719636
10-08-2015,277.549988,281.399994,275.600006,277.799988,259.360016,486969
11-08-2015,277.950012,279.5,273,275.75,257.446106,418453
12-08-2015,274,274.600006,268.5,270.450012,252.49791,605985
13-08-2015,271.950012,276.899994,263.100006,271.649994,253.618271,1170014
14-08-2015,274,275.700012,270,270.799988,252.824631,627385
17-08-2015,271,271.049988,266,266.899994,249.183609,482238
18-08-2015,268,276,267.149994,274.899994,256.652527,537037
19-08-2015,275,275.200012,268.049988,269.25,251.377548,534277
20-08-2015,269.25,270.950012,265.100006,266.149994,248.483307,700207
21-08-2015,263.5,269.5,255,266,248.343307,506030
24-08-2015,259.350006,264.549988,243.899994,247.350006,230.931274,1168021
25-08-2015,251,261.149994,245.5,256.549988,239.520569,1597619
26-08-2015,255.699997,262,251.449997,259.049988,241.854614,1193260
